City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
245,Amapa,1.0,-52.0,72.79,95,100,2.73,BR,2022-10-04 01:00:30,overcast clouds
246,Kribi,2.95,9.9167,75.79,90,100,1.01,CM,2022-10-04 01:00:30,light rain
247,Nanortalik,60.1432,-45.2371,36.25,75,5,6.11,GL,2022-10-04 01:00:31,clear sky
248,Takoradi,4.8845,-1.7554,75.02,94,96,6.06,GH,2022-10-04 01:00:31,overcast clouds
249,Kiruna,67.8557,20.2251,36.52,100,100,2.3,SE,2022-10-04 01:00:32,overcast clouds
250,Biak,-0.9131,122.8766,83.05,67,56,1.63,ID,2022-10-04 01:00:32,broken clouds
251,Karaton,-6.3424,106.1045,76.8,85,100,4.72,ID,2022-10-04 01:00:32,overcast clouds
252,Springbok,-29.6643,17.8865,44.64,85,7,4.05,ZA,2022-10-04 01:00:33,clear sky
253,Saint George,37.1041,-113.5841,79.39,31,0,13.8,US,2022-10-04 01:00:33,clear sky
254,Gazi,35.3253,25.0669,67.06,76,20,4.61,GR,2022-10-04 01:00:34,few clouds
255,Keelung,25.1283,121.7419,91.06,69,3,3.31,TW,2022-10-04 01:00:34,clear sky
256,Ucluelet,48.9329,-125.5528,56.08,91,49,3.31,CA,2022-10-04 01:00:35,scattered clouds
257,Port Washington,40.8257,-73.6982,50.59,82,100,15.99,US,2022-10-04 01:00:35,light rain
258,Muzhi,65.3667,64.6667,35.76,86,9,10.25,RU,2022-10-04 01:00:36,clear sky
259,Howard Springs,-12.497,131.047,85.98,86,93,2.8,AU,2022-10-04 01:00:36,light rain
